Прізвище;Ім'я;По батькові;Стать;Дата народження;Посада;Місто;Адреса;Телефон;Email
Баран;Орина;Юріївна;Жіноча;08.03.1952;Етнограф;селище Бобринець;узвіз Слави, буд. 97, Баранівка, 06122;509-35-20;kostiantyn52@example.com
Голик;Ростислав;Євгенович;Чоловіча;21.03.2006;Піаніст;селище Білопілля;узвіз Трудовий, буд. 273, Кам'янка-Дніпровська, 31155;+380 (54) 065-73-19;olena59@example.org
Дробʼязко;Світлана;Степанівна;Жіноча;14.06.1977;Реставратор;місто Березне;парк Покровський, буд. 165, Бунге, 54956;+380 70 786 77 27;volodymyr28@example.net
Євтушок;Дмитро;Тарасович;Чоловіча;18.09.1990;Кінолог;місто Вуглегірськ;проспект Бахмутська, буд. 239 кв. 5, Роздільна, 93705;+380 64 525-96-34;khomadanchuk@example.net
Артюшенко;Орхип;Сергійович;Чоловіча;18.02.2009;Будник;хутір Старий Самбір;сквер Просвіти, буд. 967, Христинівка, 12880;034 627-96-60;semensych@example.com
Жаліло;Євген;Петрович;Чоловіча;01.08.1966;Державний службовець;місто Баранівка;узвіз Дністровська, буд. 82, Молочанськ, 14453;088 822-02-35;feofan94@example.org
Якимчук;Микита;Іванович;Чоловіча;03.06.2008;Дизайнер;хутір Угнів;парк Літературна, буд. 19, Феодосія, 89979;+380 70 194 81 09;tdrozd@example.org
Бабко;Валентин;Степанович;Чоловіча;22.01.1978;Економіст;село Підгородне;набережна Артилерійський 2-й, буд. 15 кв. 1, Жданівка, 92346;802 66 30;qtarasenko@example.net
Журба;Софія;Миколаївна;Жіноча;22.08.1987;Електромонтажник;місто Новодружеськ;парк Житомирська, буд. 4 кв. 158, Бобровиця, 43045;+380 62 184-22-80;zdavydenko@example.net
Ґерета;Тимофій;Романович;Чоловіча;10.02.1958;Акушер;хутір Багачеве;узвіз Амбулаторна, буд. 07 кв. 6, Добромиль, 70348;+380 (84) 025-96-87;iustym18@example.net
Данченко;Алла;Михайлівна;Жіноча;17.01.1981;Локсмайстер;місто Олешки;узвіз Технічний, буд. 13 кв. 280, Херсон, 89056;+380 10 872-40-21;artemsliusar@example.org
Терещенко;Омелян;Ігорович;Чоловіча;09.08.1984;Петрограф;місто Білгород-Дністровський;вулиця 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 574, Гайсин, 71033;542-40-13;shynkarenkobohuslava@example.org
Козак;Захар;Олександрович;Чоловіча;05.08.1987;Диригент;місто Алмазна;парк Академіка Векслера, буд. 3, Буринь, 54157;029 857 45 92;lukiankanivets@example.net
Салій;Яків;Олександрович;Чоловіча;27.07.1968;Режисер;село Гребінка;проспект В'ячеслава Липинського, буд. 270 кв. 854, Вишневе, 05544;+380 14 051-43-60;svitlana62@example.org
Шеремета;Олег;Юрійович;Чоловіча;07.03.1966;Пілот;хутір Гола Пристань;площа Олександра Богомольця, буд. 1 кв. 0, Святогірськ, 21409;778 55 49;izhakevychzorian@example.com
Цимбал;Єва;Василівна;Жіноча;05.12.1990;Круп'є;хутір Комарно;шосе Левадна, буд. 59, Бар, 69012;021 148-11-43;hlibtiahnybok@example.net
Жайворон;Прохір;Романович;Чоловіча;27.01.1957;Епідеміолог;хутір Тараща;набережна Учнівська, буд. 228 кв. 3, Ржищів, 67210;086 911-58-85;violettazaruba@example.org
Конопленко;Данна;Петрівна;Жіноча;03.04.1962;Диригент;хутір Лубни;парк Орликова, буд. 02 кв. 6, Дружківка, 58205;052 088 86 91;tryhubliubov@example.com
Туркало;Валентин;Володимирович;Чоловіча;27.12.1964;Краєзнавець;місто Устилуг;шосе Окружна, буд. 8, Світловодськ, 85710;007 039 31 74;tkachenkovenedykt@example.net
Бевзенко;Сніжана;Олександрівна;Жіноча;21.06.1991;Модель;селище Ірпінь;сквер Виставочна, буд. 131, Верхівцеве, 10293;+380 92 465-28-02;parasiukoryna@example.com
Заруба;Феофан;Петрович;Чоловіча;26.09.1977;Зоолог;село Селидове;набережна Санітарна, буд. 677, Березань, 28308;+380 37 420 17 73;amvrosii00@example.com
Власенко;Опанас;Віталійович;Чоловіча;04.05.1987;Інженер;місто Новоазовськ;сквер 1-ша Лінія Марії Демченко, буд. 64 кв. 26, Збараж, 77812;570-54-61;shaida@example.org
Данильчук;Леонід;Володимирович;Чоловіча;18.06.1946;Єгер;селище Прип'ять;провулок Обривиста, буд. 64 кв. 4, Українка, 35770;+380 30 801 50 07;bohuslav13@example.org
Карпа;Симон;Юрійович;Чоловіча;16.08.2009;Скульптор;місто Ківерці;шосе Пересипська 10-та, буд. 1 кв. 4, Лисичанськ, 86397;+380 (38) 410-78-36;illia35@example.com
Зубко;Гаврило;Васильович;Чоловіча;08.03.2002;Перекладач;хутір Вугледар;парк Миколи Плигуна, буд. 830, Амвросіївка, 30119;+380 85 313 16 05;varfolomii14@example.com
Вертипорох;Аврелій;Анатолійович;Чоловіча;28.02.2009;Краєзнавець;селище Родинське;парк Різовська, буд. 4, Костопіль, 23513;051 166-88-37;klyment39@example.net
Фартушняк;Устим;Іванович;Чоловіча;12.01.2004;Шериф;місто Богуслав;узвіз Військовий узвіз, буд. 4 кв. 311, Миколаївка, 83279;054 299-18-49;kreva@example.org
Юрченко;Омелян;Юрійович;Чоловіча;14.04.1978;Стоматолог;хутір Чигирин;узвіз Олександра Тимошенка, буд. 7 кв. 14, Новомиргород, 53872;+380 71 008-62-03;kovpakrostyslav@example.org
Зінчук;Віталій;Ігорович;Чоловіча;09.12.1956;Філолог;місто Рівне;вулиця Василя Кандинського, буд. 14, Верхньодніпровськ, 84140;092 320-28-29;bohdankonoplenko@example.org
Скоробогатько;Пріска;Миколаївна;Жіноча;27.10.1989;Пекар;селище Дунаївці;шосе Угорська, буд. 2 кв. 8, Володимир-Волинський, 68281;+380 32 669 08 15;drozdvira@example.com
Саченко;Руслан;Дмитрович;Чоловіча;13.10.1986;Патологоанатом;хутір Рубіжне;вулиця Чорноморський 9-й, буд. 32, Старий Крим, 36263;028 859 79 97;aronetsoleksandr@example.com
Артюх;Амалія;Віталіївна;Жіноча;28.10.1989;Фармацевт;село Чернівці;проспект Пляжна, буд. 326 кв. 4, Чорноморськ, 01009;+380 45 229 70 96;alevtyn45@example.net
Забарний;Варфоломій;Ігорович;Чоловіча;07.03.1976;Електромонтажник;хутір Залізне;проспект Князівська, буд. 9, Дубно, 44854;+380 98 657-07-89;valentyn87@example.com
Бгиденко;Соломія;Анатоліївна;Жіноча;05.02.1979;Математик;селище Дружківка;провулок Бокаріуса, буд. 26, Селидове, 99488;334 02 86;piurchuk@example.org
Гайденко;Лариса;Тарасівна;Жіноча;08.03.1997;Медик;селище Херсон;проспект Лінія 38-ма, буд. 116, Глиняни, 84186;270-93-60;myrondrobiazko@example.com
Цибуленко;Борис;Володимирович;Чоловіча;06.06.2008;Слідчий;село Герца;площа Аркадіївський, буд. 448, Деражня, 45791;+380 45 407-61-40;bkabanenko@example.com
Щорс;Іван;Володимирович;Чоловіча;21.03.1976;Сценарист;хутір Баштанка;провулок Мирослава Скорика, буд. 893 кв. 235, Євпаторія, 76999;+380 38 920-89-36;samoilenkoleontii@example.com
Давимука;Галина;Романівна;Жіноча;07.05.2010;Клавішник;хутір Березівка;набережна Обривиста, буд. 10, Корець, 95304;+380 18 937-83-09;panas33@example.net
Юрченко;Ростислав;Сергійович;Чоловіча;18.11.1987;Головний меркшейдер;селище Тячів;шосе Семінарська, буд. 65 кв. 9, Кобеляки, 96211;+380 (19) 830-76-09;volodymyrkadeniuk@example.com
Микитюк;Олекса;Дмитрович;Чоловіча;20.02.1996;Антрополог;село Барвінкове;вулиця Школярський, буд. 41 кв. 069, Шахтарське, 07812;+380 59 192-19-22;kgalagan@example.com
Яценюк;Станіслав;Васильович;Чоловіча;02.03.1980;Економіст;місто Виноградів;площа Якірний, буд. 40 кв. 9, Мала Виска, 81023;091 228 23 13;tadamenko@example.com
Рябець;Аарон;Степанович;Чоловіча;04.03.1954;Швачка;місто Деражня;узвіз Селищний, буд. 82, Славутич, 59963;811-03-76;zlavrenko@example.org
Теличенко;Прохір;Петрович;Чоловіча;21.12.1955;Прокурор;хутір Пирятин;проспект Студентський 1-й, буд. 710, Добромиль, 71859;807-16-16;qshelest@example.net
Цимбал;Лариса;Петрівна;Жіноча;11.11.1991;Кіноактор;місто Шепетівка;сквер Станційна 2-га, буд. 419 кв. 016, Пирятин, 15964;033 059-88-19;orkhyp34@example.com
Василечко;Тарас;Богданович;Чоловіча;13.12.1994;Петрограф;місто Ладижин;парк Старосінна, буд. 30 кв. 27, Погребище, 11844;+380 (06) 100-51-62;fdanylchuk@example.net
Франчук;Павло;Миколайович;Чоловіча;18.10.1970;Антрополог;селище Кременець;вулиця 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 04 кв. 155, Нетішин, 62077;+380 69 357 53 77;demyd21@example.org
Сіробаба;Аліна;Андріївна;Жіноча;19.01.1954;Дерун;село Охтирка;сквер Університетський, буд. 4 кв. 67, Луганськ, 73989;+380 62 780-05-22;dradchenko@example.net
Редько;Дан;Васильович;Чоловіча;27.10.2003;Фермер;хутір Гайворон;узвіз Івахненка Петра, буд. 13, Мирноград, 67875;638-71-79;rsymonenko@example.org
Пелех;Тимофій;Анатолійович;Чоловіча;24.06.1950;Фармацевт;селище Комарно;шосе Давида Бурлюка, буд. 73 кв. 0, Здолбунів, 10671;633-46-92;pylyp20@example.org
Гупало;Ольга;Григорівна;Жіноча;08.07.2001;Історик;селище Апостолове;шосе Авангардна, буд. 0, Миколаїв, 46283;184 58 89;bohuslavaabramchuk@example.net
Саченко;Анжела;Анатоліївна;Жіноча;09.11.1991;Фізик;місто Макіївка;провулок Добровольців, буд. 697 кв. 004, Скалат, 76779;080 993-88-25;zynoviiartym@example.net
Атаманчук;Панас;Васильович;Чоловіча;28.01.1958;Композитор;селище Камінь-Каширський;провулок Михайла Грушевського, буд. 372 кв. 7, Гуляйполе, 83159;039 87 92;tmatviienko@example.net
Ващук;Єлисавета;Іванівна;Жіноча;08.02.1974;Підприємець;хутір Кропивницький;проспект Восьмого березня 3-й, буд. 7, Волноваха, 42463;021 896-27-02;zorianbabko@example.org
Шеремета;Леопольд;Сергійович;Чоловіча;21.06.1958;Машиніст;село Горлівка;вулиця Володимира Хавкіна, буд. 4 кв. 017, Лебедин, 65273;+380 99 054 43 92;okozak@example.net
Андрієнко;Павло;Дмитрович;Чоловіча;02.12.1961;Головний меркшейдер;селище Кривий Ріг;сквер Лінія 39-та, буд. 7 кв. 227, Вашківці, 65523;055 226-94-06;liashkoillia@example.net
Лагода;Анжела;Андріївна;Жіноча;10.12.2006;Мірошник;місто Тернівка;площа Чорноморський 4-й, буд. 78, Судова Вишня, 78000;+380 36 452-59-60;qiarema@example.com
Нестайко;Августин;Петрович;Чоловіча;08.06.1959;Медик;хутір Дубровиця;вулиця Аграрна, буд. 06, Кремінна, 40384;053-22-82;iermolenkoemiliia@example.org
Їжакевич;Юстим;Миколайович;Чоловіча;17.01.1963;Електрик;село Великі Мости;провулок Родоканакі, буд. 182 кв. 1, Іллінці, 09399;+380 86 820-02-92;antonkabanenko@example.net
Затула;Пармен;Володимирович;Чоловіча;18.11.1996;Математик;хутір Звенигородка;парк Черкаська, буд. 44 кв. 0, Отаманівка, 29776;+380 27 875-50-15;tytarenkoanita@example.net
Гавриленко;Орина;Дмитрівна;Жіноча;12.09.1995;Мірошник;селище Білицьке;вулиця Академіка Липського, буд. 2, Середина-Буда, 81461;725 33 81;myroslav13@example.net
Козак;Аарон;Васильович;Чоловіча;07.03.1995;Актор;місто Скадовськ;шосе Кордонна, буд. 048, Шумськ, 65835;051 354-43-49;olazarenko@example.com
Приймак;Геннадій;Миколайович;Чоловіча;16.03.1981;Педагог;хутір Очаків;шосе Студентський, буд. 1 кв. 34, Копичинці, 29443;032 877 89 56;avramenkoiarema@example.net
Данченко;Антон;Юрійович;Чоловіча;05.10.2005;Музичний редактор;селище Остер;вулиця Новиков міст, буд. 31, Кодима, 05902;+380 31 983 43 09;uolifirenko@example.com
Бабʼяк;Аліна;Богданівна;Жіноча;16.02.1968;Штукатур;хутір Яворів;набережна Різдвяна, буд. 06 кв. 75, Вознесенськ, 45803;+380 34 438 23 60;mykhailyna40@example.net
Єременко;Данило;Романович;Чоловіча;12.07.1956;Епідеміолог;місто Зборів;вулиця Наявний 2-й, буд. 8 кв. 1, Щастя, 06107;+380 00 934-56-24;varvarapalii@example.org
Бабиченко;Аркадій;Володимирович;Чоловіча;17.01.1968;Візажист;місто Гребінка;провулок Хаджибейський, буд. 02, Судак, 06840;028 664 53 04;uskorobohatko@example.com
Кармалюк;Ірина;Ігорівна;Жіноча;13.04.1955;Інженер;селище Біляївка;проспект Керченська, буд. 4, Лозова, 30564;045 147 69 85;ktalan@example.com
Бабиченко;Марко;Анатолійович;Чоловіча;11.09.1957;Хореограф;селище Білопілля;парк Парусна, буд. 5 кв. 396, Гірське, 61346;+380 77 730-52-11;okseniia66@example.org
Юрчук;Адам;Євгенович;Чоловіча;12.07.1962;Електромонтажник;селище Добропілля;узвіз Юннатів, буд. 6, Сарни, 06796;156 38 96;malyshkooles@example.com
Стус;Надія;Михайлівна;Жіноча;09.01.2003;Епідеміолог;селище Світлодарськ;вулиця Заводська 1-ша, буд. 6, Буськ, 23268;582-94-14;arkadiiakulenko@example.com
Онуфрієнко;Марко;Степанович;Чоловіча;03.05.1985;Золотар;хутір Вознесенівка;набережна Соляний 6-й, буд. 190 кв. 158, Пологи, 95933;+380 (08) 729-93-68;stepan73@example.net
Запорожець;Геннадій;Григорович;Чоловіча;12.08.1976;Льотчик;місто Сокиряни;провулок Чорноморський 5-й, буд. 31, Дніпрорудне, 80807;+380 02 576 34 15;ielysaveta08@example.com
Вертипорох;Надія;Василівна;Жіноча;06.12.2007;Хореограф;хутір Перемишляни;проспект Чорноморський 5-й, буд. 0 кв. 425, Джанкой, 18366;741 60 72;rkalchenko@example.com
Зубко;Клавдія;Олександрівна;Жіноча;13.07.2007;Електрик;місто Новомиргород;проспект Обривиста, буд. 3 кв. 78, Бобровиця, 49946;+380 33 275-51-59;verkhovynetsmilena@example.net
Яремко;Орися;Володимирівна;Жіноча;19.08.1993;Прокурор;село Севастополь;набережна Могилівська, буд. 108 кв. 5, Щастя, 10631;043 073 79 07;mshvedchenko@example.com
Бабич;Орина;Миколаївна;Жіноча;15.02.1966;Модель;хутір Костопіль;узвіз Офіцерська, буд. 5, Люботин, 79043;+380 (82) 866-06-46;perepelytsiaolha@example.com
Власюк;Миколай;Григорович;Чоловіча;02.02.1953;Кінорежисер;село Нова Каховка;проспект Восьмого Березня Лінія 1-ша, буд. 41, Докучаєвськ, 06749;049 586-61-75;wivasiuk@example.net
Базилевич;Ярослав;Михайлович;Чоловіча;04.09.1990;М'ясник;село Сколе;провулок Балтський 6-й, буд. 07, Кальміуське, 77981;+380 23 064-94-53;leon17@example.org
Рябченко;Юстим;Миколайович;Чоловіча;27.09.2009;Паблік рилейшнз;місто Дніпрорудне;узвіз Санаторний, буд. 752, Алмазна, 81478;119-30-17;les57@example.com
Мірошниченко;Степан;Михайлович;Чоловіча;09.07.1980;Кіноактор;село Кам'янка (Черкаська область);узвіз Гіацинтовий, буд. 64 кв. 95, Кобеляки, 35746;+380 72 048 17 07;jiurchyshyna@example.net
Давиденко;Павло;Іванович;Чоловіча;09.09.1962;Модель;місто Токмак;проспект Сосюри, буд. 294, Липовець, 04826;+380 87 479-15-63;irynaieresko@example.com
Сірченко;Олександр;Петрович;Чоловіча;06.09.2004;Кухар;селище Чортків;шосе Косовський, буд. 4, Теребовля, 61827;+380 (11) 327-44-18;oleksandrkolesnychenko@example.net
Андрусенко;Назар;Євгенович;Чоловіча;16.03.2004;Ветеринар;хутір Тетіїв;площа В'ячеслава Липинського, буд. 3, Здолбунів, 90845;058-91-08;wiarema@example.org
Лупій;Вікторія;Олександрівна;Жіноча;18.10.2006;Пілот;місто Андрушівка;узвіз Юрія Кондратюка, буд. 579, Монастирище, 11752;+380 (21) 314-57-23;goliashviktor@example.com
Ємельяненко;Вікторія;Тарасівна;Жіноча;24.06.1997;Фотограф;селище Переяслав;узвіз Чорноморський 6-й, буд. 31, Ніжин, 18683;+380 16 227 06 09;iosypkolisnychenko@example.com
Артеменко;Болеслав;Андрійович;Чоловіча;14.10.1964;Фрілансер;село Соледар;провулок Миколи Пильчикова, буд. 400 кв. 08, Гребінка, 48810;098 485 34 11;chabanvalentyna@example.net
Ванченко;Кирило;Іванович;Чоловіча;19.10.1972;Гінеколог;хутір Лисичанськ;сквер Водопровідна, буд. 24 кв. 7, Винники, 35296;+380 53 751-13-62;liliiababarychenko@example.net
Гук;Тереза;Петрівна;Жіноча;02.03.1988;Головний меркшейдер;село Нікополь;проспект Садовського, буд. 070, Баштанка, 93491;393-78-28;nestor76@example.net
Гречаник;Віра;Романівна;Жіноча;25.12.1976;Мінералог;село Запоріжжя;сквер Каретний, буд. 37, Ужгород, 42896;+380 38 663 68 62;erikaaverchenko@example.com
Смик;Михайло;Юрійович;Чоловіча;08.05.1976;Підприємець;місто Тростянець;сквер Штильова, буд. 7 кв. 3, Хоростків, 78174;989 61 02;marusia23@example.net
Цюпа;Віктор;Андрійович;Чоловіча;14.02.1990;Живописець;місто Амвросіївка;сквер Гетьмана Сагайдачного, буд. 8, Черкаси, 77998;053 881-78-34;ielysei32@example.net
Перебийніс;Ольга;Сергіївна;Жіноча;08.06.1952;Фрілансер;хутір Золочів;провулок Кавказький, буд. 983 кв. 6, Сіверськ, 18114;+380 12 746-42-11;kholyk@example.org
Гриценко;Орхип;Ігорович;Чоловіча;25.09.2005;Бізнесмен;селище Теплодар;сквер Літературна, буд. 1, Приморськ, 31893;+380 68 845 85 40;vadymriabovil@example.com
Гаврилишин;Дан;Іванович;Чоловіча;23.08.1975;Сантехнік;селище Святогірськ;вулиця Олександра Станкова, буд. 2 кв. 9, Узин, 77094;+380 62 118 27 09;bohuslavavasylechko@example.com
Стець;Віра;Петрівна;Жіноча;19.05.1951;Живописець;село Дніпрорудне;вулиця Деревообробний 4-й, буд. 447, Новий Калинів, 10576;060 436-45-71;tymchenkoteodor@example.net
Свистун;Аврелій;Романович;Чоловіча;25.12.1974;Парфюмер;селище Дубно;набережна Морехідний, буд. 9, Олешки, 42722;+380 90 373-96-46;varfolomii23@example.org
Талан;Василина;Олександрівна;Жіноча;08.12.1948;Клоун;село Миронівка;проспект Травневий 1-й, буд. 59, Білгород-Дністровський, 20920;+380 25 134-82-90;onysymbazylevska@example.net
Влох;Федір;Юрійович;Чоловіча;14.09.1992;Мінералог;хутір Бердичів;шосе Чубаївська, буд. 04 кв. 8, Зіньків, 69888;+380 14 542-80-25;myronandriishyn@example.com
Чумак;Віолетта;Дмитрівна;Жіноча;10.05.1963;Кухар;селище Білицьке;шосе Саймона Літмана, буд. 7 кв. 25, Сімферополь, 23013;+380 49 192 08 33;mykytakomar@example.com
Терещук;Ігнат;Тарасович;Чоловіча;24.04.1994;Флорист;село Луганськ;узвіз Овідіопольська, буд. 4 кв. 5, Кобеляки, 68808;+380 26 327 47 89;viacheslav98@example.org
Коваленко;Степан;Дмитрович;Чоловіча;28.05.1989;Науковець;село Великі Мости;провулок Стеценко, буд. 69 кв. 3, Болехів, 96411;+380 (33) 155-46-79;iaremkoorkhyp@example.net
Абраменко;Соломія;Тарасівна;Жіноча;24.03.1954;Мірошник;село Острог;вулиця 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 373, Золочів, 49324;+380 (01) 851-71-96;khomaieroshenko@example.org
Христенко;Варфоломій;Ігорович;Чоловіча;25.03.2007;Скульптор;село Полонне;сквер Геологічна, буд. 030 кв. 4, Керч, 84975;024 620 90 30;oleh93@example.net
Деревʼянко;Азар;Віталійович;Чоловіча;04.11.1979;Локсмайстер;місто Мукачево;проспект Добровольців, буд. 36 кв. 8, Новоселиця, 52295;+380 86 228 96 67;petro25@example.org
Нестайко;Златослава;Богданівна;Жіноча;01.01.1996;Кінокритик;місто Борислав;парк Ямчитського, буд. 4 кв. 095, Берегове, 45703;073 807 64 41;hmoskal@example.com
Єресько;Віра;Андріївна;Жіноча;23.11.1949;Електромонтажник;хутір Могилів-Подільський;провулок Скрипковий, буд. 120 кв. 1, Довжанськ, 46631;524-65-16;hiarema@example.com
Дубенко;Ярема;Ігорович;Чоловіча;11.09.1986;Дерун;хутір Сватове;сквер Лінія 31-ша, буд. 38, Кам'янка (Черкаська область), 28288;090 218-72-22;spaskovaliuk@example.com
Вакарчук;Сергій;Андрійович;Чоловіча;23.04.1947;Конструктор;село Рудки;проспект Суднобудівна, буд. 77 кв. 17, Хмільник, 20518;048 736 25 36;arkadiimalyshko@example.org
Дубенко;Любов;Михайлівна;Жіноча;11.02.1995;Секретар;село Узин;проспект 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 672 кв. 213, Тернопіль, 55406;053-85-39;skopenkohennadii@example.net
Дацюк;Левко;Сергійович;Чоловіча;15.11.1967;Режисер;місто Кам'янка-Дніпровська;парк Соціальна, буд. 097, Долина, 98155;+380 57 327-21-19;frants66@example.org
Лагода;Данна;Віталіївна;Жіноча;16.10.1980;Петрограф;місто Новий Буг;проспект Ялинковий, буд. 6 кв. 6, Південне, 24445;007 721-35-61;liubov85@example.org
Захаренко;Віолетта;Степанівна;Жіноча;08.07.1966;Електротехнік;селище Рудки;сквер Пересипська 8-ма, буд. 14, Миколаївка, 84469;+380 16 844-61-52;amaliiaadamchuk@example.com
Кабаненко;Ігнат;Анатолійович;Чоловіча;26.04.1959;Електротехнік;селище Вовчанськ;проспект Студентський 4-й, буд. 34, Камінь-Каширський, 99349;363 61 77;emiliia45@example.com
Лубенець;Франц;Володимирович;Чоловіча;20.08.1969;Сценарист;село Гірник;набережна Добровольців, буд. 38, Українка, 92796;+380 04 886 69 71;hennadiichekaliuk@example.net
Александренко;Олесь;Дмитрович;Чоловіча;16.09.1950;Громадський діяч;хутір Христинівка;шосе Розумовський 1-й, буд. 3 кв. 9, Сватове, 30373;+380 85 379-35-74;fursielysaveta@example.com
Філіпенко;Оксана;Анатоліївна;Жіноча;24.08.1968;Кінолог;село Тернівка;проспект Акордна, буд. 728, Глобине, 58821;806-89-42;shyianvladyslav@example.com
Тимчук;Віолетта;Тарасівна;Жіноча;04.01.1954;Складальник;місто Новояворівськ;парк Ромський, буд. 6, Заводське, 26248;+380 20 268-64-59;khrystyna88@example.net
Базилевський;Олександр;Віталійович;Чоловіча;01.08.1998;Каскадер;селище Старий Крим;набережна Чорноморського козацтва, буд. 387, Добромиль, 12850;+380 (52) 416-57-51;khrystenkobohdan@example.net
Андрейко;Мілена;Василівна;Жіноча;06.09.1999;Бухгалтер;село Тараща;провулок Хаджибейський 3-й, буд. 549 кв. 77, Вознесенівка, 09642;+380 24 577 11 55;cnosenko@example.net
Журба;Леопольд;Тарасович;Чоловіча;15.02.1983;Менеджер;місто Долина;сквер Дальницьке, буд. 099, Верхньодніпровськ, 19068;+380 (55) 399-78-78;sychazar@example.com
Демʼянюк;Любов;Тарасівна;Жіноча;28.03.1966;Гицель;село Конотоп;площа Шкіперська, буд. 147, Білгород-Дністровський, 66251;030 551 27 49;kbaran@example.com
Юрчук;Іван;Віталійович;Чоловіча;10.04.1971;Сценарист;село Стебник;сквер Олешківська, буд. 179 кв. 874, Покровськ, 87489;+380 84 996-69-91;ubabiak@example.org
